Position	beta	iHS	nSL	XP-EHH	DDAF	Noise1	Noise2	Noise3
500000.0	1.171403	-998	3.30174	-998	-998	2.09216735533	7.09751581462	-11.8957522826
500000.0	-0.5798270000000001	2.76559	-998	2.1002400000000003	-998	-0.748438983623	2.17881750352	11.4267884301
500000.0	-998	2.0365599999999997	-998	1.98385	1.4349145293	-1.0110358905799999	5.6838597786500005	25.4388626548
500000.0	2.6468700000000003	-998	1.8497599999999998	-998	-998	-0.0671252958311	2.0651059185	17.6761436016
500000.0	-998	3.4713199999999995	-998	0.801439	1.54114020743	0.551832033972	-2.85916466574	3.00524609652
500000.0	-998	-998	2.0354900000000002	1.87969	-998	-0.406698167711	-0.583690003938	-10.8904035116
500000.0	0.024086	4.83691	-998	-998	1.73841646683	-0.40308154609200003	-4.08865468863	4.64348173808
500000.0	-998	4.16195	1.93678	-998	1.54114020743	0.16747432175000002	-1.61001919541	3.54900192354
500000.0	-998	-998	-998	1.81945	1.5942530465	0.600122713084	-5.31754965636	4.83526619879
500000.0	-998	4.12215	1.5714	2.45391	-998	-1.09202071371	2.52927396271	-1.7679726817400003
500000.0	-998	-998	2.7760700000000003	1.3034	-998	-1.43951054683	3.2623510031700005	-13.0888858742
500000.0	-0.258785	3.89459	-998	0.937099	-998	0.141985052577	1.32019453329	-7.63347984112
500000.0	-998	-998	-998	0.9587040000000001	1.73841646683	-0.7441951908869999	-7.73040507594	-24.1010424313
500000.0	0.340996	5.0178199999999995	-998	1.42347	-998	-0.39567493409599996	0.608339335414	34.797961122
500000.0	-0.141014	5.26941	-998	1.79446	-998	-1.03073634673	-2.65288511499	26.7402190009
500000.0	-998	-998	-998	2.5396099999999997	1.56390285275	0.304595161288	-3.97513483931	20.5436657432
500000.0	-998	-998	2.6166099999999997	-998	1.54114020743	-0.7501898506820001	-3.5644166777499997	-8.62323943202
500000.0	-0.09889500000000001	-998	-998	1.35256	-998	-0.5007988553989999	2.8805565641000004	-6.553207144299999
500000.0	-998	3.0657900000000002	1.1790399999999999	-998	1.58666549806	-0.166587882646	0.237361199741	-8.91347346137
500000.0	-998	2.75639	-998	0.474041	-998	0.160297034021	1.8258746988299999	-5.28354091406
500000.0	0.0	3.93972	-998	-998	1.7611791121400002	1.0242548962	-0.692863470149	11.001657353299999
500000.0	1.048691	5.1875	-998	-998	-998	1.1792817474200001	3.8280206875199996	0.0800759253186
500000.0	-0.20610599999999998	-998	3.00478	-998	-998	0.575627531167	-1.6576458704700001	1.43117083075
500000.0	3.259402	4.50105	-998	-998	-998	1.86908298724	-5.683388235060001	0.036258337141800004
500000.0	2.826598	3.96593	-998	2.01714	-998	0.8409604572130001	-4.50847748613	1.41381825704
500000.0	0.618784	4.19958	2.4879599999999997	-998	-998	0.235445939278	7.1269994289100005	-2.67749414572
500000.0	1.18967	-998	-998	2.11622	1.6321907886899998	0.6445918261399999	-3.57933708705	-23.850288773600003
500000.0	-998	-998	1.50559	1.3724299999999998	-998	-0.803945248529	0.506352645882	-18.8503925992
500000.0	-0.41628699999999996	3.64428	-998	1.15421	-998	-1.46679967028	2.22833935223	-5.544581868990001
500000.0	-998	-998	2.11508	2.16035	1.6321907886899998	0.333949831048	-3.8832738879300006	-8.62868379749
